App Name,Description,Price,Google Play URL,App developer,Google Play developer URL,Relevance,Rating,Number of ratings,Category,Country,Last updated,Installs
Money Today,,,https://play.google.com/store/apps/details?id=com.mt.MoneyTodayNews.apis,MoneyToday,https://play.google.com/store/apps/developer?id=MoneyToday,,,,,,,
,,,https://play.google.com/store/apps/details?id=com.mtn.android.webtv,ë¨¸ë‹ˆíˆ¬ë°ì´ë°©ì†¡,https://play.google.com/store/apps/developer?id=%EB%A8%B8%EB%8B%88%ED%88%AC%EB%8D%B0%EC%9D%B4%EB%B0%A9%EC%86%A1,,,,,,,
MTN EASY SME(FULL),,,https://play.google.com/store/apps/details?id=com.mtn.bosolutions.mtneasysmev11,BOSOLUTIONS,https://play.google.com/store/apps/developer?id=BOSOLUTIONS,,,,,,,
MTN Ghana FnF,,,https://play.google.com/store/apps/details?id=com.mtn.familynfriends,TelcoVas,https://play.google.com/store/apps/developer?id=TelcoVas,,,,,,,
MTN PLAY,,,https://play.google.com/store/apps/details?id=com.mtn.odp.ic,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,,,,,,,
MTN Save my contacts,,,https://play.google.com/store/apps/details?id=com.mtn.savemycontacts,MTN Cameroon,https://play.google.com/store/apps/developer?id=MTN+Cameroon,,,,,,,
MTN Music+ (ZA),,,https://play.google.com/store/apps/details?id=com.mtn.softclient.music.za,MTN ZA,https://play.google.com/store/apps/developer?id=MTN+ZA,,,,,,,
MTN Uganda Guide,,,https://play.google.com/store/apps/details?id=com.mtn.uganda.explorer,MetropolitanRepublic Integrated Communications,https://play.google.com/store/apps/developer?id=MetropolitanRepublic+Integrated+Communications,,,,,,,
Y'ello People,,,https://play.google.com/store/apps/details?id=com.mtn.yellopeople,MTN,https://play.google.com/store/apps/developer?id=MTN,,,,,,,
MyMTN,,,https://play.google.com/store/apps/details?id=com.mtn1app,MTN,https://play.google.com/store/apps/developer?id=MTN,,,,,,,
MTN Sauvegarde,,,https://play.google.com/store/apps/details?id=com.mtnbj.sauvegarde,MTN Benin,https://play.google.com/store/apps/developer?id=MTN+Benin,,,,,,,
MTN Connect,,,https://play.google.com/store/apps/details?id=com.mtnconnect.cg,MTN Congo S.A.,https://play.google.com/store/apps/developer?id=MTN+Congo+S.A.,,,,,,,
MTN Events,,,https://play.google.com/store/apps/details?id=com.mtnevents.ngn,MTN Nigeria Communications,https://play.google.com/store/apps/developer?id=MTN+Nigeria+Communications,,,,,,,
